Wardcode,YearendingMar2000,YearendingJun2000,YearendingSep2000,YearendingDec2000,YearendingMar2001,YearendingJun2001,YearendingSep2001,YearendingDec2001,YearendingMar2002,YearendingJun2002,YearendingSep2002,YearendingDec2002,YearendingMar2003,YearendingJun2003,YearendingSep2003,YearendingDec2003,YearendingMar2004,YearendingJun2004,YearendingSep2004,YearendingDec2004,YearendingMar2005,YearendingJun2005,YearendingSep2005,YearendingDec2005,YearendingMar2006,YearendingJun2006,YearendingSep2006,YearendingDec2006,YearendingMar2007,YearendingJun2007,YearendingSep2007,YearendingDec2007,YearendingMar2008,YearendingJun2008,YearendingSep2008,YearendingDec2008,YearendingMar2009,YearendingJun2009,YearendingSep2009,YearendingDec2009,YearendingMar2010,YearendingJun2010,YearendingSep2010,YearendingDec2010,YearendingMar2011,YearendingJun2011,YearendingSep2011,YearendingDec2011,YearendingMar2012,YearendingJun2012,YearendingSep2012,YearendingDec2012,YearendingMar2013,YearendingJun2013,YearendingSep2013,YearendingDec2013,YearendingMar2014,YearendingJun2014,YearendingSep2014,YearendingDec2014,YearendingMar2015,YearendingJun2015,YearendingSep2015,YearendingDec2015,YearendingMar2016,YearendingJun2016,YearendingSep2016,YearendingDec2016,YearendingMar2017,YearendingJun2017,YearendingSep2017,YearendingDec2017,YearendingMar2018,YearendingJun2018,YearendingSep2018,YearendingDec2018,YearendingMar2019,YearendingJun2019,YearendingSep2019,YearendingDec2019
E05012971,92000.0,99950.0,107250.0,115000.0,115000.0,117250.0,121975.0,126250.0,130000.0,137000.0,146500.0,149950.0,154975.0,156000.0,160000.0,165000.0,165000.0,169975.0,179950.0,183000.0,185000.0,187500.0,187500.0,185250.0,189950.0,187500.0,189975.0,202000.0,197000.0,205000.0,214950.0,215000.0,223000.0,229750.0,239000.0,239500.0,214000.0,197750.0,192250.0,195000.0,195000.0,200000.0,206000.0,211250.0,217500.0,227500.0,227500.0,218750.0,215000.0,212500.0,213000.0,221000.0,230750.0,231500.0,238225.0,241000.0,249950.0,249950.0,249950.0,249950.0,249950.0,250000.0,272500.0,282500.0,290000.0,295000.0,317500.0,325000.0,315000.0,311250.0,308000.0,310000.0,325834.0,320000.0,335000.0,335000.0,325000.0,325000.0,309000.0,315000.0
E05011713,142450.0,145000.0,175000.0,184000.0,184000.0,190000.0,175000.0,162000.0,162000.0,162000.0,182500.0,229500.0,230000.0,223500.0,222000.0,227500.0,221250.0,250000.0,250000.0,238950.0,249000.0,250000.0,236975.0,246500.0,245000.0,245000.0,279975.0,287500.0,295000.0,295000.0,286000.0,289000.0,287500.0,305000.0,297500.0,290000.0,290000.0,247000.0,262500.0,250000.0,250000.0,305000.0,325000.0,332500.0,345000.0,342500.0,323000.0,295000.0,314750.0,275000.0,303000.0,320000.0,299995.0,293750.0,315000.0,310000.0,310000.0,320000.0,345000.0,378500.0,355000.0,339000.0,320000.0,314000.0,310000.0,325000.0,327250.0,335000.0,340000.0,340000.0,340000.0,340000.0,345000.0,350000.0,352000.0,360000.0,350000.0,350000.0,350000.0,345250.0
E05012972,127000.0,129950.0,135500.0,145000.0,145000.0,145000.0,145000.0,149975.0,157000.0,169950.0,180000.0,185500.0,190500.0,192000.0,193000.0,194250.0,196500.0,205000.0,232500.0,232000.0,239000.0,239500.0,227500.0,240000.0,238000.0,238000.0,239950.0,238750.0,244000.0,249950.0,250000.0,265000.0,275000.0,275000.0,275000.0,275000.0,264000.0,240000.0,220500.0,220000.0,225000.0,241750.0,250000.0,250000.0,255950.0,269950.0,250000.0,260000.0,250000.0,261000.0,283500.0,290250.0,297475.0,285000.0,285500.0,285000.0,295000.0,315000.0,309380.0,322498.0,317500.0,305000.0,370000.0,404950.0,417498.0,452475.0,435000.0,410000.0,410000.0,390000.0,382250.0,390000.0,390000.0,400000.0,403500.0,403000.0,387500.0,382500.0,377500.0,365000.0
E05011714,155000.0,160750.0,172475.0,177500.0,185000.0,192000.0,183500.0,190000.0,190000.0,207500.0,242500.0,234500.0,246000.0,247500.0,235000.0,258500.0,238500.0,262000.0,261000.0,250000.0,276000.0,274000.0,270000.0,275000.0,272500.0,299950.0,315000.0,352500.0,345500.0,360000.0,381500.0,375000.0,377500.0,370000.0,353000.0,330000.0,322500.0,297500.0,262500.0,277500.0,318750.0,310000.0,320000.0,340000.0,318000.0,332000.0,315000.0,285250.0,300000.0,307475.0,322500.0,309950.0,312000.0,332000.0,335500.0,346250.0,367475.0,347500.0,360000.0,389950.0,392475.0,408975.0,424950.0,375000.0,368500.0,366000.0,357250.0,395000.0,435000.0,440000.0,445000.0,425000.0,422000.0,406725.0,420000.0,452000.0,430000.0,420000.0,405000.0,395000.0
E05011715,137000.0,138000.0,138975.0,140000.0,146500.0,146500.0,151500.0,165000.0,172000.0,179000.0,198000.0,203000.0,215628.0,204000.0,205000.0,201250.0,198750.0,232200.0,237500.0,242475.0,239000.0,242475.0,225000.0,223000.0,225000.0,259000.0,244000.0,258625.0,267500.0,247500.0,250000.0,250000.0,258750.0,294475.0,290000.0,282500.0,250000.0,250000.0,250000.0,270000.0,270000.0,275000.0,270000.0,249725.0,293000.0,295000.0,298750.0,312000.0,296250.0,298750.0,275000.0,271250.0,271250.0,258000.0,286000.0,277750.0,278000.0,277750.0,315000.0,326500.0,334000.0,340000.0,290000.0,287500.0,295000.0,366475.0,355000.0,360000.0,364950.0,348500.0,360000.0,365000.0,370000.0,410000.0,416975.0,420475.0,400000.0,435000.0,454750.0,470000.0
E05012973,88001.0,93000.0,105000.0,114750.0,125000.0,128498.0,135500.0,140000.0,138000.0,148995.0,136500.0,136500.0,140000.0,140000.0,148000.0,158000.0,163000.0,172000.0,174500.0,174950.0,176225.0,182500.0,189700.0,187995.0,189975.0,190950.0,188000.0,195000.0,195000.0,194475.0,199995.0,204225.0,200000.0,204250.0,190000.0,184950.0,180000.0,189000.0,197500.0,200000.0,200000.0,208253.0,211123.0,211123.0,211825.0,211825.0,212500.0,199950.0,199975.0,190000.0,195000.0,209950.0,215000.0,225000.0,215000.0,224500.0,220000.0,216450.0,220000.0,219250.0,225000.0,235000.0,235925.0,243000.0,245000.0,245000.0,241000.0,235000.0,232500.0,231250.0,240000.0,258500.0,271000.0,270000.0,274500.0,274000.0,253500.0,265000.0,255000.0,255000.0
E05012974,86500.0,95000.0,101000.0,105000.0,108000.0,108000.0,112000.0,114475.0,120000.0,121950.0,129950.0,130000.0,135000.0,142650.0,151000.0,154500.0,153000.0,152500.0,153000.0,152000.0,154000.0,157950.0,159500.0,163750.0,165000.0,168975.0,169950.0,170500.0,169950.0,175000.0,180250.0,185000.0,188500.0,187000.0,185500.0,187000.0,197250.0,186000.0,180000.0,184000.0,174500.0,184250.0,191500.0,190000.0,189625.0,186250.0,197000.0,202000.0,196000.0,197250.0,184000.0,183500.0,180000.0,185000.0,184625.0,189975.0,198750.0,192500.0,210500.0,226250.0,229995.0,239995.0,242995.0,250000.0,267500.0,281500.0,300000.0,300000.0,300000.0,309000.0,316498.0,324998.0,328748.0,322995.0,320000.0,314995.0,299500.0,300000.0,300000.0,304995.0
E05012975,112125.0,113950.0,112600.0,123000.0,126000.0,133000.0,131000.0,129975.0,137500.0,154000.0,185000.0,185250.0,192750.0,195000.0,192500.0,186750.0,163000.0,182950.0,175000.0,185000.0,192000.0,185000.0,199950.0,217500.0,230000.0,230000.0,227500.0,200000.0,212500.0,220000.0,233500.0,247475.0,249950.0,265500.0,275000.0,277000.0,256000.0,420000.0,243276.0,230000.0,230000.0,230000.0,258475.0,267000.0,249950.0,244000.0,232500.0,235000.0,245000.0,278500.0,358750.0,338750.0,290000.0,250000.0,250000.0,249950.0,250000.0,249500.0,280000.0,280000.0,275000.0,280000.0,287500.0,312500.0,302500.0,305000.0,357500.0,318750.0,327500.0,343750.0,355000.0,365000.0,355000.0,360000.0,295000.0,320000.0,320000.0,351950.0,394975.0,415450.0
E05012976,120000.0,130500.0,145000.0,164500.0,175000.0,180500.0,171000.0,178000.0,185000.0,190530.0,195995.0,205000.0,213663.0,245000.0,244750.0,240000.0,246750.0,236500.0,238000.0,235000.0,223000.0,230000.0,237500.0,250000.0,250000.0,250000.0,250000.0,261500.0,275000.0,284950.0,285000.0,295250.0,308000.0,286500.0,285000.0,245000.0,240000.0,245000.0,245000.0,247500.0,255500.0,265000.0,271250.0,277000.0,280000.0,280000.0,296250.0,290000.0,287025.0,290000.0,285000.0,290000.0,294000.0,300000.0,310000.0,305000.0,305000.0,291000.0,305000.0,325000.0,346250.0,356500.0,356500.0,356500.0,365000.0,365000.0,378500.0,375264.0,377250.0,378750.0,380000.0,383000.0,380000.0,375000.0,372500.0,385000.0,400000.0,400000.0,391000.0,394625.0
E05012992,149725.0,149500.0,145000.0,176500.0,178000.0,178000.0,184500.0,184000.0,184500.0,184000.0,217500.0,217500.0,225000.0,227000.0,238000.0,246250.0,240000.0,221500.0,242500.0,284000.0,290000.0,284500.0,282000.0,280000.0,285000.0,301250.0,287500.0,287500.0,285000.0,298750.0,348000.0,357500.0,351500.0,348000.0,296250.0,290000.0,290000.0,287500.0,285000.0,285000.0,297500.0,320000.0,320000.0,367500.0,355000.0,355000.0,376500.0,350000.0,352400.0,352400.0,315000.0,318750.0,369400.0,319000.0,333000.0,333000.0,333000.0,342500.0,345000.0,385000.0,397500.0,420000.0,425000.0,425000.0,430000.0,422000.0,435000.0,441500.0,460000.0,455000.0,419078.0,425000.0,418155.0,430000.0,420000.0,420000.0,425000.0,422500.0,430000.0,421250.0
E05012977,134950.0,145000.0,157750.0,157750.0,158000.0,167500.0,170000.0,169950.0,168975.0,168975.0,169950.0,178000.0,184750.0,193000.0,205000.0,222500.0,241000.0,249999.0,249975.0,250000.0,247500.0,226250.0,233500.0,233500.0,237000.0,266000.0,286500.0,309750.0,327250.0,327250.0,325000.0,290385.0,290385.0,300000.0,300000.0,321000.0,322500.0,295000.0,306250.0,306250.0,306250.0,302500.0,307500.0,307500.0,316000.0,316000.0,315000.0,343750.0,347500.0,380000.0,375000.0,375000.0,344000.0,280000.0,250000.0,285000.0,340000.0,302500.0,327525.0,340000.0,365000.0,385000.0,395000.0,390500.0,382500.0,390500.0,385000.0,387500.0,397500.0,385000.0,392500.0,395000.0,425000.0,425000.0,425000.0,445000.0,423750.0,422500.0,405000.0,372500.0
E05009769,155000.0,170000.0,150000.0,160000.0,165000.0,165000.0,195000.0,207000.0,199000.0,232500.0,249000.0,250000.0,250000.0,271878.0,296878.0,281878.0,270000.0,260000.0,250000.0,249000.0,250000.0,265000.0,285000.0,292000.0,273500.0,295000.0,279000.0,250000.0,293600.0,319000.0,356000.0,420000.0,426875.0,422500.0,471000.0,473500.0,341950.0,301250.0,260000.0,244750.0,305000.0,340000.0,355000.0,367000.0,345000.0,370000.0,356000.0,370000.0,370000.0,365000.0,360000.0,330000.0,330000.0,320000.0,320000.0,315000.0,275000.0,315582.0,345000.0,350000.0,355500.0,405000.0,430000.0,452000.0,447500.0,432500.0,450000.0,401500.0,407500.0,485500.0,467500.0,490000.0,492500.0,400000.0,427500.0,430000.0,428750.0,402500.0,400000.0,395000.0
E05009770,110000.0,110000.0,120000.0,147000.0,157500.0,149500.0,145375.0,139350.0,149950.0,144500.0,159950.0,181178.0,179995.0,195000.0,198420.0,199498.0,211000.0,230000.0,250000.0,250000.0,250000.0,245000.0,205000.0,193950.0,218500.0,218500.0,226650.0,236000.0,246000.0,240000.0,232500.0,230000.0,230000.0,244975.0,249475.0,249000.0,218750.0,248000.0,248000.0,235000.0,250000.0,226000.0,230500.0,278500.0,236500.0,261500.0,245000.0,234000.0,260000.0,284000.0,284000.0,305000.0,305000.0,237500.0,217500.0,220000.0,229000.0,237500.0,250000.0,249995.0,250000.0,252000.0,262500.0,280000.0,295000.0,301500.0,303000.0,380000.0,360000.0,350500.0,350500.0,329950.0,375000.0,375000.0,350000.0,350000.0,340000.0,342500.0,340000.0,322500.0
E05009771,139000.0,159000.0,160975.0,162000.0,170250.0,227500.0,208000.0,217000.0,196250.0,190000.0,210000.0,210000.0,217750.0,220000.0,225500.0,225500.0,247000.0,245500.0,250000.0,250000.0,250000.0,249250.0,250000.0,250000.0,250000.0,255500.0,250000.0,290000.0,275000.0,299950.0,315000.0,310000.0,320000.0,333000.0,320000.0,297000.0,299950.0,299975.0,299950.0,300000.0,298000.0,286000.0,352700.0,350000.0,320000.0,333500.0,301050.0,325000.0,346000.0,370000.0,360000.0,320000.0,298000.0,306500.0,306500.0,318750.0,327500.0,330000.0,361000.0,320000.0,315000.0,352500.0,375000.0,475000.0,522500.0,549950.0,550000.0,450000.0,439000.0,399000.0,399950.0,410000.0,417000.0,435950.0,440375.0,445500.0,461000.0,411500.0,362500.0,405000.0
E05011717,149028.0,165475.0,249900.0,279500.0,230000.0,190000.0,184975.0,182750.0,183000.0,182500.0,196000.0,200000.0,202500.0,220000.0,205000.0,222250.0,243000.0,240000.0,240000.0,233000.0,235100.0,250000.0,279500.0,298000.0,272500.0,252500.0,250000.0,250000.0,260000.0,278750.0,324500.0,328000.0,344000.0,448500.0,406000.0,412000.0,375000.0,277500.0,277500.0,265000.0,278750.0,299950.0,325000.0,310000.0,290000.0,250000.0,269600.0,269600.0,275000.0,309500.0,385000.0,425000.0,443000.0,398750.0,325000.0,332500.0,325000.0,306000.0,302000.0,301000.0,305250.0,320000.0,385000.0,375000.0,410000.0,412475.0,415450.0,424950.0,419975.0,432950.0,405000.0,398000.0,355000.0,349995.0,350500.0,339998.0,330000.0,326500.0,319995.0,319995.0
E05011718,185000.0,183000.0,190000.0,210000.0,190000.0,215000.0,220000.0,227500.0,229950.0,280000.0,325000.0,337500.0,345000.0,319000.0,275000.0,290000.0,287000.0,290000.0,332000.0,332000.0,375000.0,395000.0,357750.0,345000.0,332500.0,357750.0,384000.0,389975.0,389950.0,340000.0,427500.0,425000.0,437500.0,425000.0,400000.0,400000.0,400000.0,513000.0,526000.0,485000.0,460000.0,437500.0,447500.0,455000.0,437500.0,399950.0,420000.0,452500.0,420000.0,432000.0,375000.0,345000.0,340000.0,370000.0,392500.0,400000.0,400000.0,397500.0,400000.0,487500.0,490000.0,520000.0,504000.0,482500.0,492750.0,515000.0,560000.0,560000.0,520000.0,520000.0,517000.0,495100.0,517000.0,444995.0,425000.0,436498.0,478500.0,490130.0,530000.0,570000.0
E05012978,105000.0,112475.0,129000.0,129500.0,129500.0,131000.0,128000.0,128000.0,131750.0,134000.0,150000.0,155000.0,165000.0,176500.0,186500.0,203500.0,203250.0,200500.0,193750.0,186725.0,187250.0,192950.0,195000.0,205000.0,208000.0,199000.0,203500.0,195975.0,189999.0,215000.0,217750.0,210000.0,208750.0,204250.0,204250.0,210000.0,206500.0,196250.0,197500.0,200000.0,200000.0,210000.0,216500.0,215500.0,210000.0,210000.0,210000.0,210000.0,215000.0,225500.0,241500.0,241500.0,230500.0,225000.0,216500.0,220100.0,238200.0,245000.0,240000.0,230750.0,230750.0,230000.0,240000.0,238725.0,240000.0,242500.0,269950.0,285000.0,289950.0,285000.0,290110.0,280000.0,275500.0,287613.0,295000.0,295000.0,303998.0,304995.0,303000.0,302250.0
